Kingdom,Group,log_genome_count,Repeat_length,Spacer_length,Count
Bacteria,Actinobacteria,0.00376770094529926,19,19,36
Bacteria,Actinobacteria,0.00376770094529926,19,20,171
Bacteria,Actinobacteria,0.00376770094529926,19,21,28
Bacteria,Actinobacteria,0.00376770094529926,19,22,16
Bacteria,Actinobacteria,0.00376770094529926,19,23,142
Bacteria,Actinobacteria,0.00376770094529926,19,24,26
Bacteria,Actinobacteria,0.00376770094529926,19,25,16
Bacteria,Actinobacteria,0.00376770094529926,19,26,1595
Bacteria,Actinobacteria,0.00376770094529926,19,27,14
Bacteria,Actinobacteria,0.00376770094529926,19,28,13
Bacteria,Actinobacteria,0.00376770094529926,19,29,421
Bacteria,Actinobacteria,0.00376770094529926,19,30,7
Bacteria,Actinobacteria,0.00376770094529926,19,31,13
Bacteria,Actinobacteria,0.00376770094529926,19,32,121
Bacteria,Actinobacteria,0.00376770094529926,19,33,25
Bacteria,Actinobacteria,0.00376770094529926,19,34,20
Bacteria,Actinobacteria,0.00376770094529926,19,35,263
Bacteria,Actinobacteria,0.00376770094529926,19,36,4
Bacteria,Actinobacteria,0.00376770094529926,19,37,12
Bacteria,Actinobacteria,0.00376770094529926,19,38,647
Bacteria,Actinobacteria,0.00376770094529926,19,39,12
Bacteria,Actinobacteria,0.00376770094529926,19,40,22
Bacteria,Actinobacteria,0.00376770094529926,19,41,415
Bacteria,Actinobacteria,0.00376770094529926,19,42,408
Bacteria,Actinobacteria,0.00376770094529926,19,43,30
Bacteria,Actinobacteria,0.00376770094529926,19,44,413
Bacteria,Actinobacteria,0.00376770094529926,19,45,4
Bacteria,Actinobacteria,0.00376770094529926,19,46,16
Bacteria,Actinobacteria,0.00376770094529926,19,47,368
Bacteria,Actinobacteria,0.00376770094529926,19,48,11
Bacteria,Actinobacteria,0.00376770094529926,19,50,79
Bacteria,Actinobacteria,0.00376770094529926,19,51,3
Bacteria,Actinobacteria,0.00376770094529926,19,52,6
Bacteria,Actinobacteria,0.00376770094529926,19,53,96
Bacteria,Actinobacteria,0.00376770094529926,19,54,7
Bacteria,Actinobacteria,0.00376770094529926,19,55,10
Bacteria,Actinobacteria,0.00376770094529926,19,56,291
Bacteria,Actinobacteria,0.00376770094529926,19,57,12
