RefseqID,Group,AssemblyLevel,Size(MB),ArrayCount,Kingdom
GCF_000005845.2_ASM584v2,Proteobacteria,COMP,4.64165,2,Bacteria
GCF_000006175.1_ASM617v2,Euryarchaeota,COMP,1.93639,4,Archaea
GCF_000006605.1_ASM660v1,Actinobacteria,COMP,2.47682,1,Bacteria
GCF_000006645.1_ASM664v1,Proteobacteria,COMP,4.70174,3,Bacteria
GCF_000006785.2_ASM678v2,Firmicutes,COMP,1.85243,2,Bacteria
GCF_000006825.1_ASM682v1,Proteobacteria,COMP,2.25749,3,Bacteria
GCF_000006945.1_ASM694v1,Proteobacteria,COMP,4.95137,3,Bacteria
GCF_000006985.1_ASM698v1,Bacteroidetes/Chlorobi ,COMP,2.15495,2,Bacteria
GCF_000007005.1_ASM700v1,Crenarchaeota,COMP,2.99225,7,Archaea
GCF_000007065.1_ASM706v1,Euryarchaeota,COMP,4.09635,2,Archaea
GCF_000007085.1_ASM708v1,Firmicutes,COMP,2.68945,3,Bacteria
GCF_000007105.1_ASM710v1,Proteobacteria,COMP,2.05636,3,Bacteria
GCF_000007165.1_ASM716v1,Proteobacteria,COMP,5.27417,2,Bacteria
GCF_000007265.1_ASM726v1,Firmicutes,COMP,2.16027,1,Bacteria
GCF_000007305.1_ASM730v1,Euryarchaeota,COMP,1.90826,7,Archaea
GCF_000007325.1_ASM732v1,Fusobacteria,COMP,2.1745,1,Bacteria
GCF_000007345.1_ASM734v1,Euryarchaeota,COMP,5.75149,6,Archaea
GCF_000007385.1_ASM738v1,Proteobacteria,COMP,4.94144,1,Bacteria
GCF_000007465.2_ASM746v2,Firmicutes,COMP,2.03293,1,Bacteria
GCF_000007545.1_ASM754v1,Proteobacteria,COMP,4.79196,1,Bacteria
GCF_000007585.1_ASM758v1,Bacteroidetes/Chlorobi ,COMP,2.34348,4,Bacteria
GCF_000007625.1_ASM762v1,Firmicutes,COMP,2.87333,6,Bacteria
GCF_000007685.1_ASM768v1,Spirochaetes,COMP,4.62737,1,Bacteria
GCF_000007705.1_ASM770v1,Proteobacteria,COMP,4.75108,4,Bacteria
GCF_000007745.1_ASM774v1,Proteobacteria,COMP,2.31408,3,Bacteria
GCF_000007785.1_ASM778v1,Firmicutes,COMP,3.35997,1,Bacteria
GCF_000007825.1_ASM782v1,Firmicutes,COMP,5.42708,2,Bacteria
GCF_000007885.1_ASM788v1,Proteobacteria,COMP,4.80322,2,Bacteria
GCF_000007985.2_ASM798v2,Proteobacteria,COMP,3.81413,2,Bacteria
GCF_000008005.1_ASM800v1,Firmicutes,COMP,5.43265,2,Bacteria
GCF_000008105.1_ASM810v1,Proteobacteria,COMP,4.944,1,Bacteria
GCF_000008125.1_ASM812v1,Deinococcus-Thermus,COMP,2.12748,10,Bacteria
GCF_000008185.1_ASM818v1,Spirochaetes,COMP,2.8432,1,Bacteria
GCF_000008245.1_ASM824v1,Tenericutes,COMP,0.799476,1,Bacteria
GCF_000008265.1_ASM826v1,Euryarchaeota,COMP,1.5459,4,Archaea
GCF_000008325.1_ASM832v1,Proteobacteria,COMP,3.30456,2,Bacteria
GCF_000008365.1_ASM836v1,Tenericutes,COMP,0.777079,1,Bacteria
GCF_000008425.1_ASM842v1,Firmicutes,COMP,4.22264,1,Bacteria
GCF_000008545.1_ASM854v1,Thermotogae,COMP,1.86072,7,Bacteria
GCF_000008585.1_ASM858v1,Actinobacteria,COMP,4.40384,6,Bacteria
GCF_000008625.1_ASM862v1,Aquificae,COMP,1.59079,7,Bacteria
GCF_000008645.1_ASM864v1,Euryarchaeota,COMP,1.75138,3,Archaea
GCF_000008665.1_ASM866v1,Euryarchaeota,COMP,2.1784,3,Archaea
GCF_000008805.1_ASM880v1,Proteobacteria,COMP,2.27236,1,Bacteria
GCF_000008865.1_ASM886v1,Proteobacteria,COMP,5.59448,1,Bacteria
GCF_000008925.1_ASM892v1,Firmicutes,COMP,2.13398,2,Bacteria
GCF_000008945.1_ASM894v1,Actinobacteria,COMP,2.38953,1,Bacteria
GCF_000009025.1_ASM902v1,Chloroflexi,COMP,1.3955,1,Bacteria
GCF_000009065.1_ASM906v1,Proteobacteria,COMP,4.82986,3,Bacteria
GCF_000009085.1_ASM908v1,Proteobacteria,COMP,1.64148,1,Bacteria
GCF_000009105.1_ASM910v1,Proteobacteria,COMP,2.18441,1,Bacteria
GCF_000009145.1_ASM914v1,Proteobacteria,COMP,2.81209,2,Bacteria
GCF_000009205.1_ASM920v1,Firmicutes,COMP,4.29813,11,Bacteria
GCF_000009265.1_ASM926v1,Proteobacteria,COMP,7.75131,1,Bacteria
GCF_000009445.1_ASM944v1,Actinobacteria,COMP,4.37452,4,Bacteria
GCF_000009505.1_ASM950v1,Proteobacteria,COMP,4.68585,2,Bacteria
GCF_000009525.1_ASM952v1,Proteobacteria,COMP,4.6587,2,Bacteria
GCF_000009565.1_ASM956v1,Proteobacteria,COMP,4.55895,2,Bacteria
GCF_000009705.1_ASM970v1,Cyanobacteria,COMP,7.21179,12,Bacteria
GCF_000009725.1_ASM972v1,Cyanobacteria,COMP,3.94702,3,Bacteria
GCF_000009745.1_ASM974v1,Proteobacteria,COMP,5.26009,2,Bacteria
GCF_000009765.1_ASM976v1,Actinobacteria,COMP,9.11989,3,Bacteria
GCF_000009785.1_ASM978v1,Firmicutes,COMP,3.59267,3,Bacteria
GCF_000009805.1_ASM980v1,Actinobacteria,COMP,6.29234,3,Bacteria
GCF_000009825.1_ASM982v1,Firmicutes,COMP,4.30387,7,Bacteria
GCF_000009865.1_ASM986v1,Firmicutes,COMP,2.69786,1,Bacteria
GCF_000009885.1_ASM988v1,Proteobacteria,COMP,5.47267,2,Bacteria
GCF_000009905.1_ASM990v1,Firmicutes,COMP,3.56614,3,Bacteria
GCF_000009925.1_ASM992v1,Bacteroidetes/Chlorobi ,COMP,5.31099,1,Bacteria
GCF_000009965.1_ASM996v1,Euryarchaeota,COMP,2.08874,3,Archaea
GCF_000010025.1_ASM1002v1,Proteobacteria,COMP,4.94022,1,Bacteria
GCF_000010045.1_ASM1004v1,Firmicutes,COMP,5.72753,5,Bacteria
GCF_000010105.1_ASM1010v1,Actinobacteria,COMP,6.89554,2,Bacteria
GCF_000010145.1_ASM1014v1,Firmicutes,COMP,2.09869,3,Bacteria
GCF_000010185.1_ASM1018v1,Firmicutes,COMP,1.98674,1,Bacteria
GCF_000010225.1_ASM1022v1,Actinobacteria,COMP,3.3633,1,Bacteria
GCF_000010245.2_ASM1024v1,Proteobacteria,COMP,4.64633,2,Bacteria
GCF_000010265.1_ASM1026v1,Firmicutes,COMP,3.9553,5,Bacteria
GCF_000010385.1_ASM1038v1,Proteobacteria,COMP,5.15563,2,Bacteria
GCF_000010425.1_ASM1042v1,Actinobacteria,COMP,2.08964,3,Bacteria
GCF_000010465.1_ASM1046v1,Firmicutes,COMP,2.8789,3,Bacteria
GCF_000010505.1_ASM1050v1,Bacteroidetes/Chlorobi ,COMP,2.35489,3,Bacteria
GCF_000010545.1_ASM1054v1,Proteobacteria,COMP,7.00881,1,Bacteria
GCF_000010565.1_ASM1056v1,Firmicutes,COMP,3.02537,5,Bacteria
GCF_000010605.1_ASM1060v1,Actinobacteria,COMP,8.54593,3,Bacteria
GCF_000010625.1_ASM1062v1,Cyanobacteria,COMP,5.84279,6,Bacteria
GCF_000010665.1_ASM1066v1,Proteobacteria,COMP,5.31562,2,Bacteria
GCF_000010685.1_ASM1068v1,Actinobacteria,COMP,4.37171,4,Bacteria
GCF_000010705.1_ASM1070v1,Firmicutes,COMP,2.10634,1,Bacteria
GCF_000010725.1_ASM1072v1,Proteobacteria,COMP,7.59974,5,Bacteria
GCF_000010745.1_ASM1074v1,Proteobacteria,COMP,5.52486,2,Bacteria
GCF_000010765.1_ASM1076v1,Proteobacteria,COMP,5.76608,2,Bacteria
GCF_000010785.1_ASM1078v1,Aquificae,COMP,1.74314,1,Bacteria
GCF_000010825.1_ASM1082v1,Proteobacteria,COMP,3.34025,1,Bacteria
GCF_000010845.1_ASM1084v1,Proteobacteria,COMP,3.33967,1,Bacteria
GCF_000010865.1_ASM1086v1,Proteobacteria,COMP,3.33843,1,Bacteria
GCF_000010885.1_ASM1088v1,Proteobacteria,COMP,3.33965,1,Bacteria
GCF_000010905.1_ASM1090v1,Proteobacteria,COMP,3.33968,1,Bacteria
GCF_000010925.1_ASM1092v1,Proteobacteria,COMP,3.33704,1,Bacteria
GCF_000010945.1_ASM1094v1,Proteobacteria,COMP,3.24799,1,Bacteria
GCF_000010965.1_ASM1096v1,Proteobacteria,COMP,3.33699,1,Bacteria
GCF_000010985.1_ASM1098v1,Deferribacteres,COMP,2.54293,4,Bacteria
GCF_000011025.1_ASM1102v1,Actinobacteria,COMP,2.2646,2,Bacteria
GCF_000011045.1_ASM1104v1,Firmicutes,COMP,3.00505,1,Bacteria
GCF_000011085.1_ASM1108v1,Euryarchaeota,COMP,4.27464,5,Archaea
GCF_000011105.1_ASM1110v1,Euryarchaeota,COMP,1.7385,6,Archaea
GCF_000011145.1_ASM1114v1,Firmicutes,COMP,4.20235,5,Bacteria
GCF_000011185.1_ASM1118v1,Euryarchaeota,COMP,1.5848,2,Archaea
GCF_000011205.1_ASM1120v1,Crenarchaeota,COMP,2.69476,7,Archaea
GCF_000011245.1_ASM1124v1,Firmicutes,COMP,3.63053,1,Bacteria
GCF_000011265.1_ASM1126v1,Firmicutes,COMP,2.82046,1,Bacteria
GCF_000011305.1_ASM1130v1,Actinobacteria,COMP,3.2195,1,Bacteria
GCF_000011485.1_ASM1148v1,Cyanobacteria,COMP,2.41087,1,Bacteria
GCF_000011505.1_ASM1150v1,Firmicutes,COMP,2.90262,1,Bacteria
GCF_000011605.1_ASM1160v1,Proteobacteria,COMP,5.06402,2,Bacteria
GCF_000011645.1_ASM1164v1,Firmicutes,COMP,4.2226,1,Bacteria
GCF_000011725.1_ASM1172v1,Proteobacteria,COMP,1.58995,1,Bacteria
GCF_000011765.3_ASM1176v2,Firmicutes,COMP,1.83856,2,Bacteria
GCF_000011825.1_ASM1182v1,Firmicutes,COMP,1.79685,2,Bacteria
GCF_000011845.1_ASM1184v1,Firmicutes,COMP,1.79623,1,Bacteria
GCF_000011865.1_ASM1186v1,Proteobacteria,COMP,1.77783,1,Bacteria
GCF_000011885.1_ASM1188v1,Proteobacteria,COMP,4.58523,2,Bacteria
GCF_000011925.1_ASM1192v1,Firmicutes,COMP,2.64384,1,Bacteria
GCF_000011965.2_ASM1196v2,Proteobacteria,COMP,4.60105,1,Bacteria
GCF_000011985.1_ASM1198v1,Firmicutes,COMP,1.99356,1,Bacteria
GCF_000012045.1_ASM1204v1,Firmicutes,COMP,2.81386,3,Bacteria
GCF_000012165.1_ASM1216v1,Firmicutes,COMP,1.89757,1,Bacteria
GCF_000012285.1_ASM1228v1,Crenarchaeota,COMP,2.22596,4,Archaea
GCF_000012325.1_ASM1232v1,Proteobacteria,COMP,5.37318,1,Bacteria
GCF_000012405.1_ASM1240v1,Actinobacteria,COMP,3.64225,12,Bacteria
GCF_000012485.1_ASM1248v1,Bacteroidetes/Chlorobi ,COMP,2.36484,1,Bacteria
GCF_000012545.1_ASM1254v1,Euryarchaeota,COMP,1.7674,3,Archaea
GCF_000012585.1_ASM1258v1,Bacteroidetes/Chlorobi ,COMP,2.57208,2,Bacteria
