#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Staphylococcus aureus subsp. aureus NCTC 8325","NCTC 8325",19988,SAMN02604235 ,PRJNA237,"Firmicutes","Bacilli",GCA_000013425.1 ,2.82136,32.9,chromosome:NC_007795.1/CP000253.1,-,1,2872,2767,2006/02/13,2014/12/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000013425.1_ASM1342v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000013425.1_ASM1342v1
"Salmonella enterica subsp. enterica serovar Typhimurium str. LT2","",19669,SAMN02604315 ,PRJNA241,"Proteobacteria","Gammaproteobacteria",GCA_000006945.1 ,4.95137,52.2171,chromosome:NC_003197.1/AE006468.1; plasmid pSLT:NC_003277.1/AE006471.1,-,2,4743,4553,2001/10/26,2014/12/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006945.1_ASM694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006945.1_ASM694v1
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","NCTC 11168",19270,SAMEA1705929 ,PRJNA8,"Proteobacteria","delta/epsilon subdivisions",GCA_000009085.1 ,1.64148,30.5,chromosome:NC_002163.1/AL111168.1,-,1,1668,1572,2001/09/27,2015/02/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009085.1_ASM908v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009085.1_ASM908v1
"Yersinia pestis CO92","",19684,SAMEA1705942 ,PRJNA34,"Proteobacteria","Gammaproteobacteria",GCA_000009065.1 ,4.82986,47.6065,chromosome:NC_003143.1/AL590842.1; plasmid pCD1:NC_003131.1/AL117189.1; plasmid pMT1:NC_003134.1/AL117211.1; plasmid pPCP1:NC_003132.1/AL109969.1,-,4,4230,3979,2001/10/15,2015/02/06,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009065.1_ASM906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000009065.1_ASM906v1
"Staphylococcus epidermidis ATCC 12228","ATCC 12228",19993,SAMN02603126 ,PRJNA279,"Firmicutes","Bacilli",GCA_000007645.1 ,2.56461,32.0512,chromosome:NC_004461.1/AE015929.1; plasmid pSE-12228-01:NC_005008.1/AE015930.1; plasmid pSE-12228-02:NC_005007.1/AE015931.1; plasmid pSE-12228-03:NC_005006.1/AE015932.1; plasmid pSE-12228-04:NC_005005.1/AE015933.1; plasmid pSE-12228-05:NC_005004.1/AE015934.1; plasmid pSE-12228-06:NC_005003.1/AE015935.1,-,7,2558,2482,2002/12/20,2014/12/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007645.1_ASM764v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007645.1_ASM764v1
"Pseudomonas fluorescens F113","F113",19546,SAMN02604099 ,PRJNA76715,"Proteobacteria","Gammaproteobacteria",GCA_000237065.1 ,6.84583,60.8,chromosome:NC_016830.1/CP003150.1,-,1,6034,5898,2011/12/09,2015/08/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000237065.1_ASM23706v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000237065.1_ASM23706v1
"Xanthomonas campestris pv. campestris str. ATCC 33913","ATCC 33913",19490,SAMN02603845 ,PRJNA296,"Proteobacteria","Gammaproteobacteria",GCA_000007145.1 ,5.07619,65.1,chromosome:NC_003902.1/AE008922.1,-,1,4240,4179,2001/11/28,2015/05/07,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007145.1_ASM714v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007145.1_ASM714v1
"Lactococcus lactis subsp. lactis Il1403","IL1403",20131,SAMN02603339 ,PRJNA72,"Firmicutes","Bacilli",GCA_000006865.1 ,2.36559,35.3,chromosome:NC_002662.1/AE005176.1,-,1,2406,2277,2001/01/09,2014/12/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006865.1_ASM686v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000006865.1_ASM686v1
"Listeria monocytogenes EGD-e","EGD-e",20017,SAMEA3138329 ,PRJNA276,"Firmicutes","Bacilli",GCA_000196035.1 ,2.94453,38,chromosome:NC_003210.1/AL591824.1,-,1,3055,2867,2001/11/08,2015/02/27,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000196035.1_ASM19603v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000196035.1_ASM19603v1
"Bacillus cereus ATCC 14579","ATCC 14579",20021,SAMN02603340 ,PRJNA384,"Firmicutes","Bacilli",GCA_000007825.1 ,5.42708,35.3076,chromosome:NC_004722.1/AE016877.1; plasmid pBClin15:NC_004721.2/AE016878.2,-,2,5494,5231,2003/04/16,2015/04/09,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007825.1_ASM782v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007825.1_ASM782v1
