#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	WGS	CODE	Comment	PubmedIDs	External link	UniProt
Acinetobacter baumannii	1279	Acinetobacter baumannii ATCC 17978		CP000521.1		CP000522.1,CP000523.1		COM	Acinetobacter baumannii is an opportunistic bacterial pathogen. A. baumannii Isolated ATCC 17978 was isolated from an infant with fatal meningitis in France in 1951.	17344419		UP000006737
Acinetobacter calcoaceticus	16	Acinetobacter calcoaceticus PHEA-2	NC_016603.1	CP002177.1				COM	Genomic analysis of Acinetobacter calcoaceticus PHEA-2 was undertaken because of the importance of this bacterium for bioremediation of phenol-polluted water and the close phylogenetic relationship of this species with the human pathogen Acinetobacter baumannii. To the best of our knowledge, this is the first available genomic sequence of A. calcoaceticus.	21441526		UP000007477
Aeromonas hydrophila	38	Aeromonas hydrophila subsp. hydrophila ATCC 7966	NC_008570.1	CP000462.1				COM/TYS/UPR	Aeromonas hydrophila subsp. hydrophila is an aquatic organism that can cause foodborne illnesses in humans.	16980456		UP000000756
Agrobacterium fabrum	1	Agrobacterium fabrum str. C58	NC_003063.2,NC_003062.2	AE007870.2,AE007869.2	NC_003064.2,NC_003065.3	AE007872.2,AE007871.2		FGS/MOD/TYS/UPR	Agrobacterium fabrum is an important plant pathogen capable of transferring a defined segment of DNA to a host plant, generating a gall tumor. Agrobacterium fabrum C58 is widely used in genetic transformation of plants. 	11743193,11743194	http://depts.washington.edu/agro (Agrobacterium Genome Database)	UP000000813
Amycolatopsis mediterranei	6	Amycolatopsis mediterranei U32	NC_014318.1	CP002000.1				FGS/MOD	This is the first genomic sequence of Amycolatopsis mediterranei. Amycolatopsis mediterranei U32 is widely used in idustrial production of the antibiotic rifamycin.	20567260		UP000000328
Aquifex aeolicus	1	Aquifex aeolicus VF5	NC_000918.1	AE000657.1	NC_001880.1	AE000667.1		MOD/PHY/TYS/UPR	As one of the earliest diverging, and one of the most thermophilic bacteria, Aquifex aeolicus is an evolutionarily and physiologically interesting bacterial species. 	9537320		UP000000798
Bacillus anthracis	112	Bacillus anthracis str. Ames	NC_003997.3	AE016879.1				FGS/MOD	This is the first genomic sequence of Bacillus anthracis, a pathogenic bacterium causing lethal inhalational anthrax. B. anthracis str. Ames is a well studied laboratory strain (Porton isolate). It is not virulent due to the loss of the two plasmids, pXO1 and pXO2.	12721629		UP000000427
Bacillus anthracis	112	Bacillus anthracis str. Sterne	NC_005945.1	AE017225.1				MOD	Bacillus anthracis is a pathogenic bacterium causing lethal inhalational anthrax. B. anthracis str. Sterne is often used for vaccine development. 	19768119,25237016		UP000005639
Bacillus cereus	208	Bacillus cereus ATCC 14579	NC_004722.1	AE016877.1	NC_004721.2	AE016878.2		MOD/TYS/UPR	Bacillus cereus is an opportunistic pathogen closely related to the pathogenic bacterium Bacillus anthracis. B. cereus ATCC 14579 is the type strain of B. cereus and was widely used in biological studies. 	12721630		UP000001417
Bacillus subtilis	89	Bacillus subtilis subsp. subtilis str. 168	NC_000964.3	AL009126.3				MOD/TYS/UPR	Bacillus subtilis is a ubiquitous, saprophytic, soil bacterium. Bacillus subtilis subsp. subtilis str. 168 has been widely used in biological studies	9384377,19383706,23429746	http://bacillus.genome.ad.jp (Bacillus subtilis Genome Database)	UP000001570
Bacillus thuringiensis	69	Bacillus thuringiensis serovar konkukian str. 97-27	NC_005957.1	AE017355.1	NC_006578.1	CP000047.1		CLI	Bacillus thuringiensis is a Gram-positive, spore-forming bacterium, which is closely related to Bacillus anthracis and Bacillus cereus. B. thuringiensis is a soil-dwelling bacterium and commonly used as a biological pesticide. However, B. thuringiensis str. 97-27 was originally isolated from a case of severe human tissue necrosis.	16621833		UP000001301
Bacteroides fragilis	102	Bacteroides fragilis YCH46	NC_006347.1	AP006841.1	NC_006297.1	AP006842.1		COM	This organism can become an opportunistic pathogen, infecting anywhere in the body to cause abcess formation.	21475586		UP000002197
Bacteroides thetaiotaomicron	12	Bacteroides thetaiotaomicron VPI-5482	NC_004663.1	AE015928.1	NC_004703.1	AY171301.1		MOD/QfO/TYS/UPR	Bacteroides thetaiotaomicron is a predominant member of the normal human (and murine) distal small intestinal and colonic microbiota and has been used as a model for understanding the impact of constituents of the microbiota on gut gene expression.	12663928,19321416		UP000001414
Bifidobacterium bifidum	24	Bifidobacterium bifidum PRL2010	NC_014638.1	CP001840.1				CCA/COM	Bifidobacterium bifidum is one of the predominant bacteria in the intestine of humans, especially breast-fed infants. It is also commonly used as a probiotic.	20974960		UP000002312
Bifidobacterium longum	51	Bifidobacterium longum NCC2705	NC_004307.2	AE014295.3	NC_004943.1	AF540971.1		PHY/UPR	Bifidobacterium longum is one of most important bacterial species in the gastrointestinal tracts (GIs) of humans. B. longum is commonly used in probiotics. The genomic sequence of B. longum NCC2705 was used to study the interactions between B. longum and other microorganisms in the GIs and its adaptation to the human GIs.	12381787		UP000000439
Bordetella bronchiseptica	65	Bordetella bronchiseptica 253	NC_019382.1	HE965806.1				COM	Causes bronchitis and other respiratory deseases.	23051057		UP000007564
Bordetella parapertussis	2	Bordetella parapertussis Bpp5	NC_018828.1	HE965803.1	NC_018830.1	HE965804.1		COM	Causes bronchitis and other respiratory deseases.	23051057		UP000008035
Bordetella pertussis	329	Bordetella pertussis Tohama I	NC_002929.2	BX470248.1				CLI/FGS/MOD/PRT/UPR	Bordetella pertussis Tohama I is a clinical isolate that was originally isolated from a patient with whooping cough. It has been widely used in biomedical research.	12910271		UP000002676
Borrelia burgdorferi	42	Borrelia burgdorferi B31	NC_001318.1	AE000783.1	NC_000956.1,NC_001852.1,NC_000950.1,NC_001850.1,NC_000957.1,NC_001853.1,NC_000952.1,NC_000951.1,NC_000955.2,NC_000953.1,NC_001854.1,NC_001849.2,NC_001903.1,NC_001857.2,NC_000949.1,NC_001855.1,NC_001851.2,NC_001856.1,NC_000954.1,NC_001904.1,NC_000948.1	AE001584.1,AE000786.1,AE001577.1,AE000785.1,AE001583.1,AE000784.1,AE001579.1,AE001578.1,AE001582.2,AE001580.1,AE000789.1,AE000793.2,AE000792.1,AE000790.2,AE001576.1,AE000788.1,AE000794.2,AE000787.1,AE001581.1,AE000791.1,AE001575.1		FGS/TYS/UPR	Borrelia burgdorferi is the causative agent of Lyme disease. B. burgdorferi B31 is the type strain of B. burgdorferi and was the third microbial genome sequenced.	9403685		UP000001807
Brachybacterium faecium	1	Brachybacterium faecium DSM 4810	NC_013172.1	CP001643.1				COM/PRT/TYS/UPR	type species of the genus, and is of phylogenetic interest because of its location in the Dermabacteraceae, a rather isolated family within the actinobacterial suborder Micrococcineae	21304631		UP000001919
Bradyrhizobium diazoefficiens	2	Bradyrhizobium diazoefficiens USDA 110	NC_004463.1	BA000040.2				FGS/TYS/UPR	Bradyrhizobium diazoefficiens is a symbiotic bacterium that plays an important role in fixing atmospheric nitrogen. 	12597275,12597279		UP000002526
Buchnera aphidicola	19	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	NC_002528.1	BA000003.2	NC_002253.1,NC_002252.1	AP001071.1,AP001070.1		MOD/PHY/UPR	Buchnera aphidicola is an endocellular mutualistic bacterium harbored by the pea aphid, Acyrthosiphon pisum. The genome of Buchnera aphidicola str. APS was sequenced to understanding the genomic evolution of a mutualistic bacterium in insects. 	10993077		UP000001806
Burkholderia mallei	41	Burkholderia mallei ATCC 23344	NC_006349.2,NC_006348.1	CP000011.2,CP000010.1				COM/TYS	Causes glanders and pneumonia.This type strain (ATCC 23344; NBL 7; China 7; 3873; EY 2233; RH627) came from a Chinese patient in Burma who had glanders in 1944	15377793	http://www.burkholderia.com (Burkholderia Genome Database )	UP000006693
Burkholderia pseudomallei	376	Burkholderia pseudomallei K96243	NC_006351.1,NC_006350.1	BX571966.1,BX571965.1				CLI/MOD/UPR	Burkholderia pseudomallei is an opportunistic pathogen and can cause pneumonia, bacteremia, and melioidosis. B. pseudomallei K96243 is a clinical isolate from Thailand.	15377794	http://www.burkholderia.com (Burkholderia Genome Database)	UP000000605
Campylobacter jejuni	590	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	NC_002163.1	AL111168.1				FGS/MOD/UPR	Campylobacter jejuni is the leading cause of bacterial food poisoning (campylobacteriosis). Campylobacter jejuni subsp. jejuni NCTC 11168 has been a widely used in studying the pathogenesis of C. jejuni. 	10688204,17565669		UP000000799
Caulobacter vibrioides	3	Caulobacter crescentus CB15	NC_002696.2	AE005673.1				FGS/MOD/UPR	Caulobacter vibroides, also known as Caulobacter crescentus, inhabits aquatic environments and plays an important role in biogeochemical cycling of organic nutrients. This is the first genomic sequence of C. vibroides. The genomic sequence of C. crescentus CB15 is useful for characterizing the metabolic pathway of this bacterium growing in a dilute nutrient environment.	11259647,16829582		UP000001816
Caulobacter vibrioides	3	Caulobacter crescentus NA1000	NC_011916.1	CP001340.1				LAB/MOD	Caulobacter crescentus is widely used to study the regulation of cell cycle due to its unique dimorphic life cycle.	24621776,25274120		UP000001364
